sex,race_eth,age_group,year,population
female,hispanic,15-19,2001,979847.4107422099
female,hispanic,15-19,2002,999889.0283964839
female,hispanic,15-19,2003,1027205.4180964569
female,hispanic,15-19,2004,1055425.941552751
female,hispanic,15-19,2005,1083134.021358473
female,hispanic,15-19,2006,1115507.286884692
female,hispanic,15-19,2007,1150260.214953417
female,hispanic,15-19,2008,1187686.943459927
female,hispanic,15-19,2009,1249501.677500656
female,hispanic,15-19,2010,1944581.973320605
female,hispanic,15-19,2011,659948
female,hispanic,15-19,2012,667304
female,hispanic,15-19,2013,672599
female,hispanic,15-19,2014,677025
female,hispanic,15-19,2015,680225
female,hispanic,15-19,2016,682387
female,hispanic,15-19,2017,683077
female,hispanic,15-19,2018,680396
female,hispanic,15-19,2019,672534
female,hispanic,15-19,2020,677523
female,hispanic,20-24,2000,1923162.330917896
female,hispanic,20-24,2001,985966.7607670239
female,hispanic,20-24,2002,998979.7963847851
female,hispanic,20-24,2003,1018997.818447146
female,hispanic,20-24,2004,1040017.8941242709
female,hispanic,20-24,2005,1057404.6210967
female,hispanic,20-24,2006,1074608.3794317162
female,hispanic,20-24,2007,1087930.595534177
female,hispanic,20-24,2008,1099852.953672983
female,hispanic,20-24,2009,1107168.681193423
female,hispanic,20-24,2010,1695393.934124764
female,hispanic,20-24,2011,584808
female,hispanic,20-24,2012,602657
female,hispanic,20-24,2013,621706
female,hispanic,20-24,2014,641468
female,hispanic,20-24,2015,658351
female,hispanic,20-24,2016,669739
female,hispanic,20-24,2017,674364
female,hispanic,20-24,2018,670022
female,hispanic,20-24,2019,655204
female,hispanic,20-24,2020,644802
female,hispanic,25-29,2000,1994938.9332046208
female,hispanic,25-29,2001,1021795.9849969489
female,hispanic,25-29,2002,1025607.9509451949
female,hispanic,25-29,2003,1033190.6261060949
female,hispanic,25-29,2004,1037380.188299054
female,hispanic,25-29,2005,1040086.242712916
female,hispanic,25-29,2006,1045626.012222934
female,hispanic,25-29,2007,1059213.3946316869
female,hispanic,25-29,2008,1077517.301414975
female,hispanic,25-29,2009,1098642.0494489789
female,hispanic,25-29,2010,1676458.1449558458
female,hispanic,25-29,2011,558775
female,hispanic,25-29,2012,560093
female,hispanic,25-29,2013,560947
female,hispanic,25-29,2014,564148
female,hispanic,25-29,2015,570467
female,hispanic,25-29,2016,580695
female,hispanic,25-29,2017,596122
female,hispanic,25-29,2018,614287
female,hispanic,25-29,2019,630810
female,hispanic,25-29,2020,648126
female,hispanic,30-34,2000,1837789.4774827568
female,hispanic,30-34,2001,958988.099203094
female,hispanic,30-34,2002,981130.50947473
female,hispanic,30-34,2003,1004167.680036993
female,hispanic,30-34,2004,1022224.8853076319
female,hispanic,30-34,2005,1033428.441469216
female,hispanic,30-34,2006,1041100.4219832319
female,hispanic,30-34,2007,1047691.9445731188
female,hispanic,30-34,2008,1054928.245910363
female,hispanic,30-34,2009,1060316.1102935139
female,hispanic,30-34,2010,1599625.883968546
female,hispanic,30-34,2011,541148
female,hispanic,30-34,2012,547360
female,hispanic,30-34,2013,552888
female,hispanic,30-34,2014,557993
female,hispanic,30-34,2015,561089
female,hispanic,30-34,2016,561669
female,hispanic,30-34,2017,561041
female,hispanic,30-34,2018,560805
female,hispanic,30-34,2019,563847
female,hispanic,30-34,2020,568219
female,hispanic,35-39,2000,1641243.6895105492
female,hispanic,35-39,2001,857664.078674834
female,hispanic,35-39,2002,878633.8220198291
female,hispanic,35-39,2003,900247.72856262
female,hispanic,35-39,2004,919402.9871526859
female,hispanic,35-39,2005,934264.594182094
female,hispanic,35-39,2006,952511.3820084629
female,hispanic,35-39,2007,976500.5698555
female,hispanic,35-39,2008,1001337.1401658899
female,hispanic,35-39,2009,1031429.3778867791
female,hispanic,35-39,2010,1563365.730711543
female,hispanic,35-39,2011,526089
female,hispanic,35-39,2012,530326
female,hispanic,35-39,2013,533735
female,hispanic,35-39,2014,537354
female,hispanic,35-39,2015,540675
female,hispanic,35-39,2016,543965
female,hispanic,35-39,2017,548090
female,hispanic,35-39,2018,551602
female,hispanic,35-39,2019,552069
female,hispanic,35-39,2020,543346
female,hispanic,40-44,2000,1338408.5913586682
female,hispanic,40-44,2001,709841.0025092349
female,hispanic,40-44,2002,740194.098418311
female,hispanic,40-44,2003,770027.5091970789
female,hispanic,40-44,2004,798060.029983566
female,hispanic,40-44,2005,824296.022300828
female,hispanic,40-44,2006,848137.9381304528
female,hispanic,40-44,2007,867744.500332694
female,hispanic,40-44,2008,885675.4299517189
female,hispanic,40-44,2009,916658.4897281171
female,hispanic,40-44,2010,1391706.7615245269
female,hispanic,40-44,2011,479705
female,hispanic,40-44,2012,491382
female,hispanic,40-44,2013,500757
female,hispanic,40-44,2014,509028
female,hispanic,40-44,2015,515258
female,hispanic,40-44,2016,518946
female,hispanic,40-44,2017,521043
female,hispanic,40-44,2018,521188
female,hispanic,40-44,2019,517524
female,hispanic,40-44,2020,492294
female,hispanic,45-49,2000,1023743.3534601681
female,hispanic,45-49,2001,547675.991143573
female,hispanic,45-49,2002,579255.461147564
female,hispanic,45-49,2003,613198.117671657
female,hispanic,45-49,2004,645742.604613775
female,hispanic,45-49,2005,674298.475968306
female,hispanic,45-49,2006,701627.6074080849
female,hispanic,45-49,2007,729572.476600555
female,hispanic,45-49,2008,755496.982784429
female,hispanic,45-49,2009,798787.116732603
female,hispanic,45-49,2010,1228573.854555585
female,hispanic,45-49,2011,420515
female,hispanic,45-49,2012,428825
female,hispanic,45-49,2013,435289
female,hispanic,45-49,2014,442121
female,hispanic,45-49,2015,450078
female,hispanic,45-49,2016,459155
female,hispanic,45-49,2017,469810
female,hispanic,45-49,2018,479108
female,hispanic,45-49,2019,483009
female,hispanic,45-49,2020,454629
female,hispanic,50-54,2000,751985.97153839
female,hispanic,50-54,2001,410279.17797497497
female,hispanic,50-54,2002,435939.7361981991
female,hispanic,50-54,2003,460950.50501569296
female,hispanic,50-54,2004,485171.796972194
female,hispanic,50-54,2005,509804.372676341
female,hispanic,50-54,2006,536444.9590853971
female,hispanic,50-54,2007,566110.62697608
female,hispanic,50-54,2008,597041.642316492
female,hispanic,50-54,2009,651911.678599678
female,hispanic,50-54,2010,1005261.929207777
female,hispanic,50-54,2011,349820
female,hispanic,50-54,2012,360537
female,hispanic,50-54,2013,368872
female,hispanic,50-54,2014,376917
female,hispanic,50-54,2015,385088
female,hispanic,50-54,2016,393019
female,hispanic,50-54,2017,401572
female,hispanic,50-54,2018,410485
female,hispanic,50-54,2019,418865
female,hispanic,50-54,2020,401081
female,hispanic,55-59,2000,542609.086995562
female,hispanic,55-59,2001,290158.45164235804
female,hispanic,55-59,2002,308241.804629482
female,hispanic,55-59,2003,329402.92889114097
female,hispanic,55-59,2004,351058.546964862
female,hispanic,55-59,2005,372555.34312096296
