"","year","sex","age_group","cod","race_eth","deaths"
"426",2002,"male","65-69","all_cause","white",6230
"427",2002,"female","70-74","all_cause","black",808
"428",2002,"female","70-74","all_cause","hispanic",1425
"429",2002,"female","70-74","all_cause","white",7331
"430",2002,"male","70-74","all_cause","black",950
"431",2002,"male","70-74","all_cause","hispanic",1649
"432",2002,"male","70-74","all_cause","white",8835
"433",2002,"female","75-79","all_cause","black",1120
"434",2002,"female","75-79","all_cause","hispanic",1665
"435",2002,"female","75-79","all_cause","white",11370
"436",2002,"male","75-79","all_cause","black",1041
"437",2002,"male","75-79","all_cause","hispanic",1759
"438",2002,"male","75-79","all_cause","white",11961
"439",2002,"female","80-84","all_cause","black",1078
"440",2002,"female","80-84","all_cause","hispanic",1678
"441",2002,"female","80-84","all_cause","white",15259
"442",2002,"male","80-84","all_cause","black",878
"443",2002,"male","80-84","all_cause","hispanic",1468
"444",2002,"male","80-84","all_cause","white",13611
"445",2002,"female","85-89","all_cause","black",1001
"446",2002,"female","85-89","all_cause","hispanic",1365
"447",2002,"female","85-89","all_cause","white",15939
"448",2002,"male","85-89","all_cause","black",580
"449",2002,"male","85-89","all_cause","hispanic",960
"450",2002,"male","85-89","all_cause","white",11169
"451",2002,"female","90+","all_cause","black",1034
"452",2002,"female","90+","all_cause","hispanic",1643
"453",2002,"female","90+","all_cause","white",18293
"454",2002,"male","90+","all_cause","black",373
"455",2002,"male","90+","all_cause","hispanic",762
"456",2002,"male","90+","all_cause","white",7429
"457",2003,"female","0-4","all_cause","black",192
"458",2003,"female","0-4","all_cause","hispanic",740
"459",2003,"female","0-4","all_cause","white",388
"460",2003,"male","0-4","all_cause","black",259
"461",2003,"male","0-4","all_cause","hispanic",960
"462",2003,"male","0-4","all_cause","white",522
"463",2003,"female","10-14","all_cause","black",16
"464",2003,"female","10-14","all_cause","hispanic",92
"465",2003,"female","10-14","all_cause","white",67
"466",2003,"male","10-14","all_cause","black",36
"467",2003,"male","10-14","all_cause","hispanic",127
"468",2003,"male","10-14","all_cause","white",92
"469",2003,"female","15-19","all_cause","black",41
"470",2003,"female","15-19","all_cause","hispanic",145
"471",2003,"female","15-19","all_cause","white",176
"472",2003,"male","15-19","all_cause","black",162
"473",2003,"male","15-19","all_cause","hispanic",522
"474",2003,"male","15-19","all_cause","white",368
"475",2003,"female","20-24","all_cause","black",67
"476",2003,"female","20-24","all_cause","hispanic",167
"477",2003,"female","20-24","all_cause","white",203
"478",2003,"male","20-24","all_cause","black",233
"479",2003,"male","20-24","all_cause","hispanic",744
"480",2003,"male","20-24","all_cause","white",539
"481",2003,"female","25-29","all_cause","black",59
"482",2003,"female","25-29","all_cause","hispanic",166
"483",2003,"female","25-29","all_cause","white",215
"484",2003,"male","25-29","all_cause","black",212
"485",2003,"male","25-29","all_cause","hispanic",604
"486",2003,"male","25-29","all_cause","white",512
"487",2003,"female","30-34","all_cause","black",109
"488",2003,"female","30-34","all_cause","hispanic",223
"489",2003,"female","30-34","all_cause","white",341
"490",2003,"male","30-34","all_cause","black",223
"491",2003,"male","30-34","all_cause","hispanic",650
"492",2003,"male","30-34","all_cause","white",707
"493",2003,"female","35-39","all_cause","black",173
"494",2003,"female","35-39","all_cause","hispanic",320
"495",2003,"female","35-39","all_cause","white",630
"496",2003,"male","35-39","all_cause","black",312
"497",2003,"male","35-39","all_cause","hispanic",779
"498",2003,"male","35-39","all_cause","white",1184
"499",2003,"female","40-44","all_cause","black",302
"500",2003,"female","40-44","all_cause","hispanic",461
"501",2003,"female","40-44","all_cause","white",1138
"502",2003,"male","40-44","all_cause","black",460
"503",2003,"male","40-44","all_cause","hispanic",955
"504",2003,"male","40-44","all_cause","white",1954
"505",2003,"female","45-49","all_cause","black",460
"506",2003,"female","45-49","all_cause","hispanic",562
"507",2003,"female","45-49","all_cause","white",1723
"508",2003,"male","45-49","all_cause","black",644
"509",2003,"male","45-49","all_cause","hispanic",1181
"510",2003,"male","45-49","all_cause","white",2906
"511",2003,"female","5-9","all_cause","black",NA
"512",2003,"female","5-9","all_cause","hispanic",69
"513",2003,"female","5-9","all_cause","white",57
"514",2003,"male","5-9","all_cause","black",27
"515",2003,"male","5-9","all_cause","hispanic",99
"516",2003,"male","5-9","all_cause","white",58
"517",2003,"female","50-54","all_cause","black",583
"518",2003,"female","50-54","all_cause","hispanic",668
"519",2003,"female","50-54","all_cause","white",2290
"520",2003,"male","50-54","all_cause","black",842
"521",2003,"male","50-54","all_cause","hispanic",1257
"522",2003,"male","50-54","all_cause","white",3944
"523",2003,"female","55-59","all_cause","black",592
"524",2003,"female","55-59","all_cause","hispanic",744
"525",2003,"female","55-59","all_cause","white",3026
"526",2003,"male","55-59","all_cause","black",790
"527",2003,"male","55-59","all_cause","hispanic",1235
"528",2003,"male","55-59","all_cause","white",4529
"529",2003,"female","60-64","all_cause","black",597
"530",2003,"female","60-64","all_cause","hispanic",868
"531",2003,"female","60-64","all_cause","white",3558
"532",2003,"male","60-64","all_cause","black",816
"533",2003,"male","60-64","all_cause","hispanic",1255
"534",2003,"male","60-64","all_cause","white",5142
"535",2003,"female","65-69","all_cause","black",693
"536",2003,"female","65-69","all_cause","hispanic",1093
"537",2003,"female","65-69","all_cause","white",4626
"538",2003,"male","65-69","all_cause","black",890
"539",2003,"male","65-69","all_cause","hispanic",1365
"540",2003,"male","65-69","all_cause","white",6158
"541",2003,"female","70-74","all_cause","black",779
"542",2003,"female","70-74","all_cause","hispanic",1471
"543",2003,"female","70-74","all_cause","white",6941
"544",2003,"male","70-74","all_cause","black",943
"545",2003,"male","70-74","all_cause","hispanic",1680
"546",2003,"male","70-74","all_cause","white",8402
"547",2003,"female","75-79","all_cause","black",1064
"548",2003,"female","75-79","all_cause","hispanic",1827
"549",2003,"female","75-79","all_cause","white",10902
"550",2003,"male","75-79","all_cause","black",1027
"551",2003,"male","75-79","all_cause","hispanic",1824
"552",2003,"male","75-79","all_cause","white",11646
"553",2003,"female","80-84","all_cause","black",1138
"554",2003,"female","80-84","all_cause","hispanic",1745
"555",2003,"female","80-84","all_cause","white",15463
"556",2003,"male","80-84","all_cause","black",947
"557",2003,"male","80-84","all_cause","hispanic",1670
"558",2003,"male","80-84","all_cause","white",13942
"559",2003,"female","85-89","all_cause","black",1002
"560",2003,"female","85-89","all_cause","hispanic",1499
"561",2003,"female","85-89","all_cause","white",16108
"562",2003,"male","85-89","all_cause","black",565
"563",2003,"male","85-89","all_cause","hispanic",998
"564",2003,"male","85-89","all_cause","white",11439
"565",2003,"female","90+","all_cause","black",1120
"566",2003,"female","90+","all_cause","hispanic",1778
"567",2003,"female","90+","all_cause","white",19232
"568",2003,"male","90+","all_cause","black",332
"569",2003,"male","90+","all_cause","hispanic",865
"570",2003,"male","90+","all_cause","white",8012
"571",2004,"female","0-4","all_cause","black",187
"572",2004,"female","0-4","all_cause","hispanic",741
"573",2004,"female","0-4","all_cause","white",410
"574",2004,"male","0-4","all_cause","black",246
"575",2004,"male","0-4","all_cause","hispanic",948
"576",2004,"male","0-4","all_cause","white",499
"577",2004,"female","10-14","all_cause","black",23
"578",2004,"female","10-14","all_cause","hispanic",74
"579",2004,"female","10-14","all_cause","white",53
"580",2004,"male","10-14","all_cause","black",33
"581",2004,"male","10-14","all_cause","hispanic",110
"582",2004,"male","10-14","all_cause","white",97
"583",2004,"female","15-19","all_cause","black",34
"584",2004,"female","15-19","all_cause","hispanic",140
"585",2004,"female","15-19","all_cause","white",174
"586",2004,"male","15-19","all_cause","black",207
"587",2004,"male","15-19","all_cause","hispanic",486
"588",2004,"male","15-19","all_cause","white",350
"589",2004,"female","20-24","all_cause","black",57
"590",2004,"female","20-24","all_cause","hispanic",158
"591",2004,"female","20-24","all_cause","white",212
"592",2004,"male","20-24","all_cause","black",224
"593",2004,"male","20-24","all_cause","hispanic",762
"594",2004,"male","20-24","all_cause","white",566
"595",2004,"female","25-29","all_cause","black",76
"596",2004,"female","25-29","all_cause","hispanic",182
"597",2004,"female","25-29","all_cause","white",199
