"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"35-39 years","35-39","1999","1999","Male","M",404,443697,91.1
,"35-39 years","35-39","2000","2000","Female","F",235,419265,56.1
,"35-39 years","35-39","2000","2000","Male","M",424,455133,93.2
,"35-39 years","35-39","2001","2001","Female","F",275,436143,63.1
,"35-39 years","35-39","2001","2001","Male","M",467,473985,98.5
,"35-39 years","35-39","2002","2002","Female","F",215,448017,48.0
,"35-39 years","35-39","2002","2002","Male","M",421,484280,86.9
,"35-39 years","35-39","2003","2003","Female","F",237,460967,51.4
,"35-39 years","35-39","2003","2003","Male","M",443,497282,89.1
,"35-39 years","35-39","2004","2004","Female","F",201,470788,42.7
,"35-39 years","35-39","2004","2004","Male","M",431,507493,84.9
,"35-39 years","35-39","2005","2005","Female","F",227,483258,47.0
,"35-39 years","35-39","2005","2005","Male","M",440,519432,84.7
,"35-39 years","35-39","2006","2006","Female","F",241,494693,48.7
,"35-39 years","35-39","2006","2006","Male","M",395,526579,75.0
,"35-39 years","35-39","2007","2007","Female","F",254,503571,50.4
,"35-39 years","35-39","2007","2007","Male","M",411,531587,77.3
,"35-39 years","35-39","2008","2008","Female","F",224,512818,43.7
,"35-39 years","35-39","2008","2008","Male","M",377,535297,70.4
,"35-39 years","35-39","2009","2009","Female","F",253,521162,48.5
,"35-39 years","35-39","2009","2009","Male","M",360,537582,67.0
,"35-39 years","35-39","2010","2010","Female","F",201,524886,38.3
,"35-39 years","35-39","2010","2010","Male","M",371,536895,69.1
,"35-39 years","35-39","2011","2011","Female","F",227,527527,43.0
,"35-39 years","35-39","2011","2011","Male","M",365,541816,67.4
,"35-39 years","35-39","2012","2012","Female","F",225,527386,42.7
,"35-39 years","35-39","2012","2012","Male","M",337,542650,62.1
,"35-39 years","35-39","2013","2013","Female","F",249,526368,47.3
,"35-39 years","35-39","2013","2013","Male","M",364,545802,66.7
,"35-39 years","35-39","2014","2014","Female","F",258,534153,48.3
,"35-39 years","35-39","2014","2014","Male","M",401,551424,72.7
,"35-39 years","35-39","2015","2015","Female","F",275,539152,51.0
,"35-39 years","35-39","2015","2015","Male","M",420,562267,74.7
,"35-39 years","35-39","2016","2016","Female","F",266,539148,49.3
,"35-39 years","35-39","2016","2016","Male","M",438,565292,77.5
,"35-39 years","35-39","2017","2017","Female","F",281,546828,51.4
,"35-39 years","35-39","2017","2017","Male","M",435,576703,75.4
,"40-44 years","40-44","1999","1999","Female","F",317,335461,94.5
,"40-44 years","40-44","1999","1999","Male","M",535,347122,154.1
,"40-44 years","40-44","2000","2000","Female","F",361,347813,103.8
,"40-44 years","40-44","2000","2000","Male","M",588,359257,163.7
,"40-44 years","40-44","2001","2001","Female","F",349,368521,94.7
,"40-44 years","40-44","2001","2001","Male","M",626,381816,164.0
,"40-44 years","40-44","2002","2002","Female","F",345,384546,89.7
,"40-44 years","40-44","2002","2002","Male","M",615,400611,153.5
,"40-44 years","40-44","2003","2003","Female","F",387,400817,96.6
,"40-44 years","40-44","2003","2003","Male","M",650,417136,155.8
,"40-44 years","40-44","2004","2004","Female","F",357,418141,85.4
,"40-44 years","40-44","2004","2004","Male","M",678,435536,155.7
