"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"50-54 years","50-54","2010","2010","Male","M",23,342919,6.7
,"50-54 years","50-54","2011","2011","Male","M",15,361428,Unreliable
,"50-54 years","50-54","2012","2012","Male","M",25,374540,6.7
,"50-54 years","50-54","2013","2013","Male","M",28,387926,7.2
,"50-54 years","50-54","2014","2014","Male","M",29,407770,7.1
,"50-54 years","50-54","2015","2015","Male","M",31,420890,7.4
,"50-54 years","50-54","2016","2016","Male","M",27,428605,6.3
,"50-54 years","50-54","2017","2017","Male","M",28,438278,6.4
,"55-59 years","55-59","2000","2000","Male","M",11,126643,Unreliable
,"55-59 years","55-59","2002","2002","Male","M",14,149033,Unreliable
,"55-59 years","55-59","2006","2006","Male","M",10,201260,Unreliable
,"55-59 years","55-59","2007","2007","Male","M",12,211544,Unreliable
,"55-59 years","55-59","2008","2008","Male","M",22,223554,9.8
,"55-59 years","55-59","2009","2009","Male","M",10,237125,Unreliable
,"55-59 years","55-59","2010","2010","Male","M",14,249424,Unreliable
,"55-59 years","55-59","2011","2011","Male","M",10,269166,Unreliable
,"55-59 years","55-59","2012","2012","Male","M",16,284216,Unreliable
,"55-59 years","55-59","2013","2013","Male","M",14,299337,Unreliable
,"55-59 years","55-59","2014","2014","Male","M",14,317724,Unreliable
,"55-59 years","55-59","2015","2015","Male","M",19,335296,Unreliable
,"55-59 years","55-59","2016","2016","Male","M",18,344527,Unreliable
,"55-59 years","55-59","2017","2017","Female","F",10,368612,Unreliable
,"55-59 years","55-59","2017","2017","Male","M",18,356714,Unreliable
,"60-64 years ","60-64","2014","2014","Male","M",11,225575,Unreliable
,"60-64 years ","60-64","2016","2016","Male","M",14,253147,Unreliable
,"60-64 years ","60-64","2017","2017","Male","M",13,267413,Unreliable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Hispanic Origin: Hispanic or Latino"
"MCD - ICD-10 Codes: X85-Y09 (Assault)"
"States: California (06)"
"Year/Month: 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Five-Year Age Groups; Year; Sex"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jan 28, 2026 7:18:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jan 28, 2026 7:18:40 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"4. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"5. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"6. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"7. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"8. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Racial Differences."
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
