"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"40-44 years","40-44","2004","2004","Female","F","White","2106-3",14,666662,Unreliable
,"40-44 years","40-44","2004","2004","Male","M","Black or African American","2054-5",46,96986,47.4
,"40-44 years","40-44","2004","2004","Male","M","White","2106-3",34,690205,4.9
,"40-44 years","40-44","2005","2005","Female","F","White","2106-3",14,642144,Unreliable
,"40-44 years","40-44","2005","2005","Male","M","Black or African American","2054-5",48,95523,50.2
,"40-44 years","40-44","2005","2005","Male","M","White","2106-3",30,663099,4.5
,"40-44 years","40-44","2006","2006","Female","F","Black or African American","2054-5",15,94347,Unreliable
,"40-44 years","40-44","2006","2006","Female","F","White","2106-3",12,607154,Unreliable
,"40-44 years","40-44","2006","2006","Male","M","Black or African American","2054-5",42,93250,45.0
,"40-44 years","40-44","2006","2006","Male","M","White","2106-3",31,628720,4.9
,"40-44 years","40-44","2007","2007","Female","F","White","2106-3",14,574302,Unreliable
,"40-44 years","40-44","2007","2007","Male","M","Black or African American","2054-5",38,90026,42.2
,"40-44 years","40-44","2007","2007","Male","M","White","2106-3",25,595072,4.2
,"40-44 years","40-44","2008","2008","Female","F","White","2106-3",11,545680,Unreliable
,"40-44 years","40-44","2008","2008","Male","M","Black or African American","2054-5",37,87395,42.3
,"40-44 years","40-44","2008","2008","Male","M","White","2106-3",28,567220,4.9
,"40-44 years","40-44","2009","2009","Female","F","White","2106-3",13,522794,Unreliable
,"40-44 years","40-44","2009","2009","Male","M","Black or African American","2054-5",20,84583,23.6
,"40-44 years","40-44","2009","2009","Male","M","White","2106-3",31,543732,5.7
,"40-44 years","40-44","2010","2010","Male","M","Black or African American","2054-5",28,83788,33.4
,"40-44 years","40-44","2010","2010","Male","M","White","2106-3",31,535383,5.8
,"40-44 years","40-44","2011","2011","Male","M","Black or African American","2054-5",36,82893,43.4
,"40-44 years","40-44","2011","2011","Male","M","White","2106-3",29,530415,5.5
,"40-44 years","40-44","2012","2012","Male","M","Black or African American","2054-5",30,81520,36.8
,"40-44 years","40-44","2012","2012","Male","M","White","2106-3",30,519775,5.8
,"40-44 years","40-44","2013","2013","Male","M","Black or African American","2054-5",40,78510,50.9
,"40-44 years","40-44","2013","2013","Male","M","White","2106-3",18,503344,Unreliable
,"40-44 years","40-44","2014","2014","Female","F","White","2106-3",12,458242,Unreliable
,"40-44 years","40-44","2014","2014","Male","M","Black or African American","2054-5",34,77014,44.1
,"40-44 years","40-44","2014","2014","Male","M","White","2106-3",23,483880,4.8
,"40-44 years","40-44","2015","2015","Male","M","Black or African American","2054-5",30,74219,40.4
,"40-44 years","40-44","2015","2015","Male","M","White","2106-3",28,462289,6.1
,"40-44 years","40-44","2016","2016","Male","M","Black or African American","2054-5",34,71888,47.3
,"40-44 years","40-44","2016","2016","Male","M","White","2106-3",31,442639,7.0
,"40-44 years","40-44","2017","2017","Male","M","Black or African American","2054-5",37,72007,51.4
,"40-44 years","40-44","2017","2017","Male","M","White","2106-3",24,437920,5.5
,"45-49 years","45-49","1999","1999","Female","F","White","2106-3",14,651506,Unreliable
,"45-49 years","45-49","1999","1999","Male","M","Black or African American","2054-5",26,72334,35.9
,"45-49 years","45-49","1999","1999","Male","M","White","2106-3",36,655996,5.5
,"45-49 years","45-49","2000","2000","Male","M","Black or African American","2054-5",26,74716,34.8
,"45-49 years","45-49","2000","2000","Male","M","White","2106-3",28,665957,4.2
,"45-49 years","45-49","2001","2001","Female","F","White","2106-3",15,669133,Unreliable
,"45-49 years","45-49","2001","2001","Male","M","Black or African American","2054-5",21,77693,27.0
,"45-49 years","45-49","2001","2001","Male","M","White","2106-3",28,676097,4.1
,"45-49 years","45-49","2002","2002","Female","F","White","2106-3",20,676915,3.0
,"45-49 years","45-49","2002","2002","Male","M","Black or African American","2054-5",35,80784,43.3
,"45-49 years","45-49","2002","2002","Male","M","White","2106-3",26,686579,3.8
,"45-49 years","45-49","2003","2003","Female","F","White","2106-3",12,679886,Unreliable
,"45-49 years","45-49","2003","2003","Male","M","Black or African American","2054-5",30,84057,35.7
,"45-49 years","45-49","2003","2003","Male","M","White","2106-3",30,693413,4.3
,"45-49 years","45-49","2004","2004","Female","F","White","2106-3",17,674846,Unreliable
,"45-49 years","45-49","2004","2004","Male","M","Black or African American","2054-5",33,86200,38.3
,"45-49 years","45-49","2004","2004","Male","M","White","2106-3",32,691474,4.6
,"45-49 years","45-49","2005","2005","Female","F","White","2106-3",15,670864,Unreliable
,"45-49 years","45-49","2005","2005","Male","M","Black or African American","2054-5",38,88734,42.8
,"45-49 years","45-49","2005","2005","Male","M","White","2106-3",40,691141,5.8
,"45-49 years","45-49","2006","2006","Female","F","Black or African American","2054-5",10,93089,Unreliable
,"45-49 years","45-49","2006","2006","Female","F","White","2106-3",13,665862,Unreliable
,"45-49 years","45-49","2006","2006","Male","M","Black or African American","2054-5",37,90499,40.9
,"45-49 years","45-49","2006","2006","Male","M","White","2106-3",35,686778,5.1
,"45-49 years","45-49","2007","2007","Female","F","White","2106-3",17,653477,Unreliable
,"45-49 years","45-49","2007","2007","Male","M","Black or African American","2054-5",39,91602,42.6
,"45-49 years","45-49","2007","2007","Male","M","White","2106-3",38,674715,5.6
,"45-49 years","45-49","2008","2008","Female","F","White","2106-3",13,640985,Unreliable
,"45-49 years","45-49","2008","2008","Male","M","Black or African American","2054-5",27,91854,29.4
,"45-49 years","45-49","2008","2008","Male","M","White","2106-3",32,660725,4.8
,"45-49 years","45-49","2009","2009","Female","F","White","2106-3",15,629901,Unreliable
,"45-49 years","45-49","2009","2009","Male","M","Black or African American","2054-5",28,92143,30.4
,"45-49 years","45-49","2009","2009","Male","M","White","2106-3",44,648619,6.8
