"Notes","Year","Year Code","Race","Race Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2000","2000","White","2106-3","Female","F","35-39 years","35-39",655,673816,97.2
,"2000","2000","White","2106-3","Female","F","40-44 years","40-44",1144,699052,163.7
,"2000","2000","White","2106-3","Female","F","45-49 years","45-49",1518,661755,229.4
,"2000","2000","White","2106-3","Female","F","50-54 years","50-54",2218,613093,361.8
,"2000","2000","White","2106-3","Female","F","55-59 years","55-59",2688,469638,572.4
,"2000","2000","White","2106-3","Female","F","60-64 years ","60-64",3419,369569,925.1
,"2000","2000","White","2106-3","Female","F","65-69 years","65-69",4962,333412,1488.2
,"2000","2000","White","2106-3","Female","F","70-74 years","70-74",7751,341252,2271.3
,"2000","2000","White","2106-3","Female","F","75-79 years","75-79",12283,333217,3686.2
,"2000","2000","White","2106-3","Female","F","80-84 years","80-84",14614,235721,6199.7
,"2000","2000","White","2106-3","Female","F","85-89 years","85-89",15482,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Female","F","90-94 years","90-94",11864,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Female","F","95-99 years","95-99",5261,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Female","F","100+ years","100+",1170,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Male","M","< 1 year","1",454,84144,539.6
,"2000","2000","White","2106-3","Male","M","1-4 years","1-4",101,352775,28.6
,"2000","2000","White","2106-3","Male","M","5-9 years","5-9",61,503536,12.1
,"2000","2000","White","2106-3","Male","M","10-14 years","10-14",123,521652,23.6
,"2000","2000","White","2106-3","Male","M","15-19 years","15-19",304,494783,61.4
,"2000","2000","White","2106-3","Male","M","20-24 years","20-24",482,455393,105.8
,"2000","2000","White","2106-3","Male","M","25-29 years","25-29",512,501861,102.0
,"2000","2000","White","2106-3","Male","M","30-34 years","30-34",773,590356,130.9
,"2000","2000","White","2106-3","Male","M","35-39 years","35-39",1280,700696,182.7
,"2000","2000","White","2106-3","Male","M","40-44 years","40-44",1971,723976,272.2
,"2000","2000","White","2106-3","Male","M","45-49 years","45-49",2763,665957,414.9
,"2000","2000","White","2106-3","Male","M","50-54 years","50-54",3580,610848,586.1
,"2000","2000","White","2106-3","Male","M","55-59 years","55-59",4097,457968,894.6
,"2000","2000","White","2106-3","Male","M","60-64 years ","60-64",4766,348722,1366.7
,"2000","2000","White","2106-3","Male","M","65-69 years","65-69",6389,301977,2115.7
,"2000","2000","White","2106-3","Male","M","70-74 years","70-74",9346,276449,3380.7
,"2000","2000","White","2106-3","Male","M","75-79 years","75-79",12712,241459,5264.7
,"2000","2000","White","2106-3","Male","M","80-84 years","80-84",13251,152890,8667.0
,"2000","2000","White","2106-3","Male","M","85-89 years","85-89",10596,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Male","M","90-94 years","90-94",5405,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Male","M","95-99 years","95-99",1497,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Male","M","100+ years","100+",237,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Male","M","Not Stated","NS",18,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Female","F","< 1 year","1",203,17126,1185.3
,"2001","2001","Black or African American","2054-5","Female","F","1-4 years","1-4",32,69945,45.8
,"2001","2001","Black or African American","2054-5","Female","F","5-9 years","5-9",18,102269,Unreliable
,"2001","2001","Black or African American","2054-5","Female","F","10-14 years","10-14",19,107351,Unreliable
,"2001","2001","Black or African American","2054-5","Female","F","15-19 years","15-19",39,90042,43.3
,"2001","2001","Black or African American","2054-5","Female","F","20-24 years","20-24",47,82128,57.2
,"2001","2001","Black or African American","2054-5","Female","F","25-29 years","25-29",88,77980,112.8
,"2001","2001","Black or African American","2054-5","Female","F","30-34 years","30-34",111,90473,122.7
,"2001","2001","Black or African American","2054-5","Female","F","35-39 years","35-39",189,99414,190.1
,"2001","2001","Black or African American","2054-5","Female","F","40-44 years","40-44",296,97985,302.1
,"2001","2001","Black or African American","2054-5","Female","F","45-49 years","45-49",446,81895,544.6
,"2001","2001","Black or African American","2054-5","Female","F","50-54 years","50-54",542,70565,768.1
,"2001","2001","Black or African American","2054-5","Female","F","55-59 years","55-59",534,50111,1065.6
,"2001","2001","Black or African American","2054-5","Female","F","60-64 years ","60-64",588,41255,1425.3
,"2001","2001","Black or African American","2054-5","Female","F","65-69 years","65-69",739,33662,2195.4
,"2001","2001","Black or African American","2054-5","Female","F","70-74 years","70-74",822,27168,3025.6
,"2001","2001","Black or African American","2054-5","Female","F","75-79 years","75-79",1026,22484,4563.2
,"2001","2001","Black or African American","2054-5","Female","F","80-84 years","80-84",1064,15166,7015.7
,"2001","2001","Black or African American","2054-5","Female","F","85-89 years","85-89",934,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Female","F","90-94 years","90-94",628,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Female","F","95-99 years","95-99",290,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Female","F","100+ years","100+",95,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Male","M","< 1 year","1",212,17304,1225.2
,"2001","2001","Black or African American","2054-5","Male","M","1-4 years","1-4",44,72916,60.3
,"2001","2001","Black or African American","2054-5","Male","M","5-9 years","5-9",27,105610,25.6
,"2001","2001","Black or African American","2054-5","Male","M","10-14 years","10-14",33,111560,29.6
,"2001","2001","Black or African American","2054-5","Male","M","15-19 years","15-19",144,96367,149.4
,"2001","2001","Black or African American","2054-5","Male","M","20-24 years","20-24",221,85657,258.0
,"2001","2001","Black or African American","2054-5","Male","M","25-29 years","25-29",205,77095,265.9
,"2001","2001","Black or African American","2054-5","Male","M","30-34 years","30-34",234,89825,260.5
,"2001","2001","Black or African American","2054-5","Male","M","35-39 years","35-39",306,98133,311.8
,"2001","2001","Black or African American","2054-5","Male","M","40-44 years","40-44",456,95950,475.2
,"2001","2001","Black or African American","2054-5","Male","M","45-49 years","45-49",600,77693,772.3
,"2001","2001","Black or African American","2054-5","Male","M","50-54 years","50-54",732,63814,1147.1
,"2001","2001","Black or African American","2054-5","Male","M","55-59 years","55-59",694,43869,1582.0
,"2001","2001","Black or African American","2054-5","Male","M","60-64 years ","60-64",809,36114,2240.1
,"2001","2001","Black or African American","2054-5","Male","M","65-69 years","65-69",960,28579,3359.1
,"2001","2001","Black or African American","2054-5","Male","M","70-74 years","70-74",967,20186,4790.4
,"2001","2001","Black or African American","2054-5","Male","M","75-79 years","75-79",995,14786,6729.3
,"2001","2001","Black or African American","2054-5","Male","M","80-84 years","80-84",882,8402,10497.5
,"2001","2001","Black or African American","2054-5","Male","M","85-89 years","85-89",545,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Male","M","90-94 years","90-94",267,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Male","M","95-99 years","95-99",106,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Male","M","100+ years","100+",22,Not Applicable,Not Applicable
,"2001","2001","Black or African American","2054-5","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Female","F","< 1 year","1",372,82224,452.4
,"2001","2001","White","2106-3","Female","F","1-4 years","1-4",66,322160,20.5
,"2001","2001","White","2106-3","Female","F","5-9 years","5-9",62,453097,13.7
,"2001","2001","White","2106-3","Female","F","10-14 years","10-14",64,497402,12.9
,"2001","2001","White","2106-3","Female","F","15-19 years","15-19",163,464605,35.1
,"2001","2001","White","2106-3","Female","F","20-24 years","20-24",198,454736,43.5
,"2001","2001","White","2106-3","Female","F","25-29 years","25-29",193,452882,42.6
,"2001","2001","White","2106-3","Female","F","30-34 years","30-34",358,557522,64.2
,"2001","2001","White","2106-3","Female","F","35-39 years","35-39",689,639166,107.8
,"2001","2001","White","2106-3","Female","F","40-44 years","40-44",1114,699068,159.4
,"2001","2001","White","2106-3","Female","F","45-49 years","45-49",1605,669133,239.9
,"2001","2001","White","2106-3","Female","F","50-54 years","50-54",2324,639455,363.4
,"2001","2001","White","2106-3","Female","F","55-59 years","55-59",2738,487086,562.1
,"2001","2001","White","2106-3","Female","F","60-64 years ","60-64",3480,379151,917.8
,"2001","2001","White","2106-3","Female","F","65-69 years","65-69",4917,330008,1490.0
,"2001","2001","White","2106-3","Female","F","70-74 years","70-74",7540,330743,2279.7
,"2001","2001","White","2106-3","Female","F","75-79 years","75-79",12028,328682,3659.5
,"2001","2001","White","2106-3","Female","F","80-84 years","80-84",14861,244168,6086.4
,"2001","2001","White","2106-3","Female","F","85-89 years","85-89",16022,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Female","F","90-94 years","90-94",12043,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Female","F","95-99 years","95-99",5122,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Female","F","100+ years","100+",1254,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Male","M","< 1 year","1",464,86805,534.5
,"2001","2001","White","2106-3","Male","M","1-4 years","1-4",115,339556,33.9
,"2001","2001","White","2106-3","Male","M","5-9 years","5-9",78,479793,16.3
,"2001","2001","White","2106-3","Male","M","10-14 years","10-14",98,525356,18.7
,"2001","2001","White","2106-3","Male","M","15-19 years","15-19",365,497684,73.3
,"2001","2001","White","2106-3","Male","M","20-24 years","20-24",523,481743,108.6
,"2001","2001","White","2106-3","Male","M","25-29 years","25-29",551,478598,115.1
,"2001","2001","White","2106-3","Male","M","30-34 years","30-34",747,586075,127.5
,"2001","2001","White","2106-3","Male","M","35-39 years","35-39",1225,668054,183.4
,"2001","2001","White","2106-3","Male","M","40-44 years","40-44",2018,724930,278.4
,"2001","2001","White","2106-3","Male","M","45-49 years","45-49",2880,676097,426.0
,"2001","2001","White","2106-3","Male","M","50-54 years","50-54",3742,636779,587.6
,"2001","2001","White","2106-3","Male","M","55-59 years","55-59",4237,475637,890.8
,"2001","2001","White","2106-3","Male","M","60-64 years ","60-64",4966,359148,1382.7
,"2001","2001","White","2106-3","Male","M","65-69 years","65-69",6303,298846,2109.1
,"2001","2001","White","2106-3","Male","M","70-74 years","70-74",8982,275291,3262.7
,"2001","2001","White","2106-3","Male","M","75-79 years","75-79",12472,237907,5242.4
,"2001","2001","White","2106-3","Male","M","80-84 years","80-84",13415,161004,8332.1
,"2001","2001","White","2106-3","Male","M","85-89 years","85-89",10918,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Male","M","90-94 years","90-94",5381,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Male","M","95-99 years","95-99",1540,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Male","M","100+ years","100+",238,Not Applicable,Not Applicable
,"2001","2001","White","2106-3","Male","M","Not Stated","NS",16,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Female","F","< 1 year","1",178,16424,1083.8
,"2002","2002","Black or African American","2054-5","Female","F","1-4 years","1-4",17,68050,Unreliable
,"2002","2002","Black or African American","2054-5","Female","F","5-9 years","5-9",18,98042,Unreliable
,"2002","2002","Black or African American","2054-5","Female","F","10-14 years","10-14",19,109056,Unreliable
,"2002","2002","Black or African American","2054-5","Female","F","15-19 years","15-19",35,91924,38.1
,"2002","2002","Black or African American","2054-5","Female","F","20-24 years","20-24",62,83552,74.2
,"2002","2002","Black or African American","2054-5","Female","F","25-29 years","25-29",53,76943,68.9
,"2002","2002","Black or African American","2054-5","Female","F","30-34 years","30-34",140,88399,158.4
,"2002","2002","Black or African American","2054-5","Female","F","35-39 years","35-39",194,96218,201.6
,"2002","2002","Black or African American","2054-5","Female","F","40-44 years","40-44",310,98703,314.1
,"2002","2002","Black or African American","2054-5","Female","F","45-49 years","45-49",459,84871,540.8
,"2002","2002","Black or African American","2054-5","Female","F","50-54 years","50-54",502,71935,697.9
,"2002","2002","Black or African American","2054-5","Female","F","55-59 years","55-59",566,53378,1060.4
,"2002","2002","Black or African American","2054-5","Female","F","60-64 years ","60-64",590,42327,1393.9
,"2002","2002","Black or African American","2054-5","Female","F","65-69 years","65-69",727,34651,2098.1
,"2002","2002","Black or African American","2054-5","Female","F","70-74 years","70-74",808,27181,2972.7
