"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"25-29 years","25-29","2002","2002","Male","M","Black or African American","2054-5",13,75667,Unreliable
,"25-29 years","25-29","2002","2002","Male","M","White","2106-3",89,468589,19.0
,"25-29 years","25-29","2003","2003","Female","F","White","2106-3",32,443886,7.2
,"25-29 years","25-29","2003","2003","Male","M","Black or African American","2054-5",12,75125,Unreliable
,"25-29 years","25-29","2003","2003","Male","M","White","2106-3",103,465259,22.1
,"25-29 years","25-29","2004","2004","Female","F","White","2106-3",43,451987,9.5
,"25-29 years","25-29","2004","2004","Male","M","Black or African American","2054-5",12,76455,Unreliable
,"25-29 years","25-29","2004","2004","Male","M","White","2106-3",97,471896,20.6
,"25-29 years","25-29","2005","2005","Female","F","White","2106-3",42,460650,9.1
,"25-29 years","25-29","2005","2005","Male","M","Black or African American","2054-5",21,77880,27.0
,"25-29 years","25-29","2005","2005","Male","M","White","2106-3",120,478282,25.1
,"25-29 years","25-29","2006","2006","Female","F","Black or African American","2054-5",10,81449,Unreliable
,"25-29 years","25-29","2006","2006","Female","F","White","2106-3",59,475937,12.4
,"25-29 years","25-29","2006","2006","Male","M","Black or African American","2054-5",23,79913,28.8
,"25-29 years","25-29","2006","2006","Male","M","White","2106-3",105,490367,21.4
,"25-29 years","25-29","2007","2007","Female","F","White","2106-3",52,479241,10.9
,"25-29 years","25-29","2007","2007","Male","M","Black or African American","2054-5",16,81256,Unreliable
,"25-29 years","25-29","2007","2007","Male","M","White","2106-3",138,496400,27.8
,"25-29 years","25-29","2008","2008","Female","F","White","2106-3",48,484571,9.9
,"25-29 years","25-29","2008","2008","Male","M","Black or African American","2054-5",25,82802,30.2
,"25-29 years","25-29","2008","2008","Male","M","White","2106-3",140,506778,27.6
,"25-29 years","25-29","2009","2009","Female","F","White","2106-3",44,483863,9.1
,"25-29 years","25-29","2009","2009","Male","M","Black or African American","2054-5",22,83768,26.3
,"25-29 years","25-29","2009","2009","Male","M","White","2106-3",154,512689,30.0
,"25-29 years","25-29","2010","2010","Female","F","White","2106-3",49,481820,10.2
,"25-29 years","25-29","2010","2010","Male","M","Black or African American","2054-5",14,84402,Unreliable
,"25-29 years","25-29","2010","2010","Male","M","White","2106-3",172,513800,33.5
,"25-29 years","25-29","2011","2011","Female","F","White","2106-3",41,482609,8.5
,"25-29 years","25-29","2011","2011","Male","M","Black or African American","2054-5",22,86822,25.3
,"25-29 years","25-29","2011","2011","Male","M","White","2106-3",176,517232,34.0
,"25-29 years","25-29","2012","2012","Female","F","White","2106-3",69,482818,14.3
,"25-29 years","25-29","2012","2012","Male","M","Black or African American","2054-5",19,88714,Unreliable
,"25-29 years","25-29","2012","2012","Male","M","White","2106-3",163,519735,31.4
,"25-29 years","25-29","2013","2013","Female","F","White","2106-3",47,488810,9.6
,"25-29 years","25-29","2013","2013","Male","M","Black or African American","2054-5",15,92342,Unreliable
,"25-29 years","25-29","2013","2013","Male","M","White","2106-3",195,526325,37.0
,"25-29 years","25-29","2014","2014","Female","F","White","2106-3",58,499474,11.6
,"25-29 years","25-29","2014","2014","Male","M","Black or African American","2054-5",20,98496,20.3
,"25-29 years","25-29","2014","2014","Male","M","White","2106-3",196,538045,36.4
,"25-29 years","25-29","2015","2015","Female","F","Black or African American","2054-5",13,97859,Unreliable
,"25-29 years","25-29","2015","2015","Female","F","White","2106-3",61,508562,12.0
,"25-29 years","25-29","2015","2015","Male","M","Black or African American","2054-5",29,104800,27.7
,"25-29 years","25-29","2015","2015","Male","M","White","2106-3",197,550272,35.8
,"25-29 years","25-29","2016","2016","Female","F","White","2106-3",66,514680,12.8
,"25-29 years","25-29","2016","2016","Male","M","Black or African American","2054-5",20,108461,18.4
,"25-29 years","25-29","2016","2016","Male","M","White","2106-3",230,554048,41.5
,"25-29 years","25-29","2017","2017","Female","F","White","2106-3",68,509333,13.4
,"25-29 years","25-29","2017","2017","Male","M","Black or African American","2054-5",25,112917,22.1
,"25-29 years","25-29","2017","2017","Male","M","White","2106-3",246,550941,44.7
,"30-34 years","30-34","1999","1999","Female","F","White","2106-3",46,580844,7.9
,"30-34 years","30-34","1999","1999","Male","M","Black or African American","2054-5",24,94080,25.5
,"30-34 years","30-34","1999","1999","Male","M","White","2106-3",165,606405,27.2
,"30-34 years","30-34","2000","2000","Female","F","White","2106-3",36,563325,6.4
,"30-34 years","30-34","2000","2000","Male","M","Black or African American","2054-5",12,91219,Unreliable
,"30-34 years","30-34","2000","2000","Male","M","White","2106-3",111,590356,18.8
,"30-34 years","30-34","2001","2001","Female","F","White","2106-3",33,557522,5.9
,"30-34 years","30-34","2001","2001","Male","M","Black or African American","2054-5",12,89825,Unreliable
,"30-34 years","30-34","2001","2001","Male","M","White","2106-3",71,586075,12.1
,"30-34 years","30-34","2002","2002","Female","F","Black or African American","2054-5",18,88399,Unreliable
,"30-34 years","30-34","2002","2002","Female","F","White","2106-3",59,541343,10.9
,"30-34 years","30-34","2002","2002","Male","M","Black or African American","2054-5",23,88080,26.1
,"30-34 years","30-34","2002","2002","Male","M","White","2106-3",152,570768,26.6
,"30-34 years","30-34","2003","2003","Female","F","White","2106-3",60,521197,11.5
,"30-34 years","30-34","2003","2003","Male","M","Black or African American","2054-5",17,85323,Unreliable
,"30-34 years","30-34","2003","2003","Male","M","White","2106-3",132,548331,24.1
,"30-34 years","30-34","2004","2004","Female","F","White","2106-3",52,493900,10.5
,"30-34 years","30-34","2004","2004","Male","M","Black or African American","2054-5",19,82483,Unreliable
,"30-34 years","30-34","2004","2004","Male","M","White","2106-3",141,522670,27.0
,"30-34 years","30-34","2005","2005","Female","F","Black or African American","2054-5",13,78324,Unreliable
,"30-34 years","30-34","2005","2005","Female","F","White","2106-3",61,460053,13.3
,"30-34 years","30-34","2005","2005","Male","M","Black or African American","2054-5",27,78238,34.5
,"30-34 years","30-34","2005","2005","Male","M","White","2106-3",142,490228,29.0
,"30-34 years","30-34","2006","2006","Female","F","White","2106-3",53,432159,12.3
,"30-34 years","30-34","2006","2006","Male","M","Black or African American","2054-5",22,75252,29.2
,"30-34 years","30-34","2006","2006","Male","M","White","2106-3",125,464104,26.9
,"30-34 years","30-34","2007","2007","Female","F","Black or African American","2054-5",11,73778,Unreliable
,"30-34 years","30-34","2007","2007","Female","F","White","2106-3",58,421061,13.8
,"30-34 years","30-34","2007","2007","Male","M","Black or African American","2054-5",18,74149,Unreliable
,"30-34 years","30-34","2007","2007","Male","M","White","2106-3",116,452712,25.6
,"30-34 years","30-34","2008","2008","Female","F","White","2106-3",51,420432,12.1
,"30-34 years","30-34","2008","2008","Male","M","Black or African American","2054-5",18,74513,Unreliable
,"30-34 years","30-34","2008","2008","Male","M","White","2106-3",128,452424,28.3
,"30-34 years","30-34","2009","2009","Female","F","Black or African American","2054-5",10,75228,Unreliable
,"30-34 years","30-34","2009","2009","Female","F","White","2106-3",59,429780,13.7
,"30-34 years","30-34","2009","2009","Male","M","Black or African American","2054-5",14,75986,Unreliable
,"30-34 years","30-34","2009","2009","Male","M","White","2106-3",161,460693,34.9
