"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"55-59 years","55-59","2000","2000","Female","F",10,141886,Unreliable
,"55-59 years","55-59","2000","2000","Male","M",24,126643,19.0
,"55-59 years","55-59","2001","2001","Male","M",23,137173,16.8
,"55-59 years","55-59","2002","2002","Female","F",12,165505,Unreliable
,"55-59 years","55-59","2002","2002","Male","M",32,149033,21.5
,"55-59 years","55-59","2003","2003","Female","F",18,177362,Unreliable
,"55-59 years","55-59","2003","2003","Male","M",46,161284,28.5
,"55-59 years","55-59","2004","2004","Female","F",18,189763,Unreliable
,"55-59 years","55-59","2004","2004","Male","M",44,173487,25.4
,"55-59 years","55-59","2005","2005","Female","F",23,204633,11.2
,"55-59 years","55-59","2005","2005","Male","M",50,187987,26.6
,"55-59 years","55-59","2006","2006","Female","F",28,217735,12.9
,"55-59 years","55-59","2006","2006","Male","M",83,201260,41.2
,"55-59 years","55-59","2007","2007","Female","F",30,228678,13.1
,"55-59 years","55-59","2007","2007","Male","M",62,211544,29.3
,"55-59 years","55-59","2008","2008","Female","F",15,241771,Unreliable
,"55-59 years","55-59","2008","2008","Male","M",84,223554,37.6
,"55-59 years","55-59","2009","2009","Female","F",22,256844,8.6
,"55-59 years","55-59","2009","2009","Male","M",92,237125,38.8
,"55-59 years","55-59","2010","2010","Female","F",37,268508,13.8
,"55-59 years","55-59","2010","2010","Male","M",83,249424,33.3
,"55-59 years","55-59","2011","2011","Female","F",36,287903,12.5
,"55-59 years","55-59","2011","2011","Male","M",90,269166,33.4
,"55-59 years","55-59","2012","2012","Female","F",26,302356,8.6
,"55-59 years","55-59","2012","2012","Male","M",99,284216,34.8
,"55-59 years","55-59","2013","2013","Female","F",29,316631,9.2
,"55-59 years","55-59","2013","2013","Male","M",115,299337,38.4
,"55-59 years","55-59","2014","2014","Female","F",39,334362,11.7
,"55-59 years","55-59","2014","2014","Male","M",100,317724,31.5
,"55-59 years","55-59","2015","2015","Female","F",34,349653,9.7
,"55-59 years","55-59","2015","2015","Male","M",125,335296,37.3
,"55-59 years","55-59","2016","2016","Female","F",43,357969,12.0
,"55-59 years","55-59","2016","2016","Male","M",120,344527,34.8
,"55-59 years","55-59","2017","2017","Female","F",31,368612,8.4
,"55-59 years","55-59","2017","2017","Male","M",142,356714,39.8
,"60-64 years ","60-64","1999","1999","Male","M",28,91630,30.6
,"60-64 years ","60-64","2000","2000","Male","M",23,93966,24.5
,"60-64 years ","60-64","2001","2001","Male","M",20,99018,20.2
,"60-64 years ","60-64","2002","2002","Female","F",11,121032,Unreliable
,"60-64 years ","60-64","2002","2002","Male","M",34,104044,32.7
,"60-64 years ","60-64","2003","2003","Female","F",16,127869,Unreliable
,"60-64 years ","60-64","2003","2003","Male","M",46,109787,41.9
,"60-64 years ","60-64","2004","2004","Male","M",35,115796,30.2
,"60-64 years ","60-64","2005","2005","Male","M",42,122537,34.3
,"60-64 years ","60-64","2006","2006","Female","F",15,150692,Unreliable
,"60-64 years ","60-64","2006","2006","Male","M",30,130269,23.0
,"60-64 years ","60-64","2007","2007","Female","F",18,162171,Unreliable
,"60-64 years ","60-64","2007","2007","Male","M",33,140802,23.4
,"60-64 years ","60-64","2008","2008","Female","F",17,173216,Unreliable
,"60-64 years ","60-64","2008","2008","Male","M",42,151965,27.6
,"60-64 years ","60-64","2009","2009","Female","F",14,185248,Unreliable
,"60-64 years ","60-64","2009","2009","Male","M",59,163444,36.1
,"60-64 years ","60-64","2010","2010","Female","F",20,196804,10.2
,"60-64 years ","60-64","2010","2010","Male","M",64,174349,36.7
,"60-64 years ","60-64","2011","2011","Female","F",24,212368,11.3
,"60-64 years ","60-64","2011","2011","Male","M",56,189609,29.5
,"60-64 years ","60-64","2012","2012","Female","F",14,222058,Unreliable
,"60-64 years ","60-64","2012","2012","Male","M",68,198708,34.2
,"60-64 years ","60-64","2013","2013","Female","F",30,234009,12.8
,"60-64 years ","60-64","2013","2013","Male","M",80,210379,38.0
,"60-64 years ","60-64","2014","2014","Female","F",26,251218,10.3
,"60-64 years ","60-64","2014","2014","Male","M",76,225575,33.7
,"60-64 years ","60-64","2015","2015","Female","F",34,266790,12.7
,"60-64 years ","60-64","2015","2015","Male","M",90,241401,37.3
,"60-64 years ","60-64","2016","2016","Female","F",36,278982,12.9
,"60-64 years ","60-64","2016","2016","Male","M",74,253147,29.2
,"60-64 years ","60-64","2017","2017","Female","F",34,293079,11.6
,"60-64 years ","60-64","2017","2017","Male","M",92,267413,34.4
,"65-69 years","65-69","1999","1999","Male","M",29,71216,40.7
,"65-69 years","65-69","2000","2000","Female","F",10,90766,Unreliable
,"65-69 years","65-69","2000","2000","Male","M",19,72803,Unreliable
,"65-69 years","65-69","2001","2001","Female","F",12,94710,Unreliable
,"65-69 years","65-69","2001","2001","Male","M",17,75750,Unreliable
,"65-69 years","65-69","2002","2002","Male","M",19,78403,Unreliable
,"65-69 years","65-69","2003","2003","Female","F",11,102683,Unreliable
