"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","2008","2008","Male","M","Black or African American","2054-5",17,74513,Unreliable
,"30-34 years","30-34","2008","2008","Male","M","White","2106-3",100,452424,22.1
,"30-34 years","30-34","2009","2009","Female","F","White","2106-3",31,429780,7.2
,"30-34 years","30-34","2009","2009","Male","M","White","2106-3",102,460693,22.1
,"30-34 years","30-34","2010","2010","Female","F","White","2106-3",30,438147,6.8
,"30-34 years","30-34","2010","2010","Male","M","Black or African American","2054-5",16,77616,Unreliable
,"30-34 years","30-34","2010","2010","Male","M","White","2106-3",102,467414,21.8
,"30-34 years","30-34","2011","2011","Female","F","White","2106-3",28,451385,6.2
,"30-34 years","30-34","2011","2011","Male","M","Black or African American","2054-5",17,80027,Unreliable
,"30-34 years","30-34","2011","2011","Male","M","White","2106-3",122,482801,25.3
,"30-34 years","30-34","2012","2012","Female","F","White","2106-3",21,462737,4.5
,"30-34 years","30-34","2012","2012","Male","M","Black or African American","2054-5",26,81830,31.8
,"30-34 years","30-34","2012","2012","Male","M","White","2106-3",120,495771,24.2
,"30-34 years","30-34","2013","2013","Female","F","White","2106-3",37,473310,7.8
,"30-34 years","30-34","2013","2013","Male","M","Black or African American","2054-5",14,83336,Unreliable
,"30-34 years","30-34","2013","2013","Male","M","White","2106-3",115,509163,22.6
,"30-34 years","30-34","2014","2014","Female","F","White","2106-3",28,481205,5.8
,"30-34 years","30-34","2014","2014","Male","M","White","2106-3",121,517299,23.4
,"30-34 years","30-34","2015","2015","Female","F","White","2106-3",33,485234,6.8
,"30-34 years","30-34","2015","2015","Male","M","Black or African American","2054-5",13,87039,Unreliable
,"30-34 years","30-34","2015","2015","Male","M","White","2106-3",115,522082,22.0
,"30-34 years","30-34","2016","2016","Female","F","White","2106-3",33,486879,6.8
,"30-34 years","30-34","2016","2016","Male","M","Black or African American","2054-5",15,88126,Unreliable
,"30-34 years","30-34","2016","2016","Male","M","White","2106-3",136,525747,25.9
